order_id,shop_id,user_id,order_amount,total_items,payment_method,created_at,created_at_day
1,53,746,224,2,cash,3/13/2017 12:36,"Monday, March 13, 2017"
2,92,925,90,1,cash,3/3/2017 17:38,"Friday, March 3, 2017"
3,44,861,144,1,cash,3/14/2017 4:23,"Tuesday, March 14, 2017"
4,18,935,156,1,credit_card,3/26/2017 12:43,"Sunday, March 26, 2017"
5,18,883,156,1,credit_card,3/1/2017 4:35,"Wednesday, March 1, 2017"
6,58,882,138,1,credit_card,3/14/2017 15:25,"Tuesday, March 14, 2017"
7,87,915,149,1,cash,3/1/2017 21:37,"Wednesday, March 1, 2017"
8,22,761,292,2,cash,3/8/2017 2:05,"Wednesday, March 8, 2017"
9,64,914,266,2,debit,3/17/2017 20:56,"Friday, March 17, 2017"
10,52,788,146,1,credit_card,3/30/2017 21:08,"Thursday, March 30, 2017"
11,66,848,322,2,credit_card,3/26/2017 23:36,"Sunday, March 26, 2017"
12,40,983,322,2,debit,3/12/2017 17:58,"Sunday, March 12, 2017"
13,54,799,266,2,credit_card,3/16/2017 14:15,"Thursday, March 16, 2017"
14,100,709,111,1,cash,3/22/2017 2:39,"Wednesday, March 22, 2017"
15,87,849,447,3,credit_card,3/10/2017 11:23,"Friday, March 10, 2017"
16,42,607,704000,2000,credit_card,3/7/2017 4:00,"Tuesday, March 7, 2017"
17,17,731,176,1,cash,3/21/2017 4:23,"Tuesday, March 21, 2017"
18,28,752,164,1,credit_card,3/21/2017 12:09,"Tuesday, March 21, 2017"
19,83,761,258,2,cash,3/17/2017 13:18,"Friday, March 17, 2017"
20,63,898,408,3,credit_card,3/29/2017 15:11,"Wednesday, March 29, 2017"
21,66,987,322,2,cash,3/30/2017 20:11,"Thursday, March 30, 2017"
22,97,789,486,3,credit_card,3/4/2017 15:44,"Saturday, March 4, 2017"
23,88,985,704,4,credit_card,3/22/2017 1:19,"Wednesday, March 22, 2017"
24,75,964,256,2,credit_card,3/12/2017 3:07,"Sunday, March 12, 2017"
25,73,917,495,3,cash,3/3/2017 13:01,"Friday, March 3, 2017"
26,82,848,177,1,cash,3/25/2017 21:35,"Saturday, March 25, 2017"
27,47,882,145,1,cash,3/22/2017 7:38,"Wednesday, March 22, 2017"
28,53,942,112,1,credit_card,3/17/2017 9:41,"Friday, March 17, 2017"
29,40,944,322,2,cash,3/5/2017 2:12,"Sunday, March 5, 2017"
30,59,790,178,1,credit_card,3/4/2017 22:49,"Saturday, March 4, 2017"
31,76,857,310,2,cash,3/23/2017 21:34,"Thursday, March 23, 2017"
32,57,839,294,2,debit,3/19/2017 5:31,"Sunday, March 19, 2017"
33,76,712,465,3,credit_card,3/10/2017 23:54,"Friday, March 10, 2017"
34,7,800,224,2,credit_card,3/3/2017 5:31,"Friday, March 3, 2017"
35,34,704,244,2,debit,3/13/2017 0:00,"Monday, March 13, 2017"
36,61,781,316,2,cash,3/8/2017 15:57,"Wednesday, March 8, 2017"
37,84,979,459,3,credit_card,3/5/2017 22:44,"Sunday, March 5, 2017"
38,66,961,322,2,credit_card,3/14/2017 6:04,"Tuesday, March 14, 2017"
39,10,921,148,1,credit_card,3/6/2017 5:51,"Monday, March 6, 2017"
40,61,756,316,2,credit_card,3/7/2017 17:03,"Tuesday, March 7, 2017"
